drug	protein	y
CHEMBL2007296	P12931	11.8
CHEMBL2007296	P15735	11.4
CHEMBL2007296	P17612	12
CHEMBL2007296	P17948	12.5
CHEMBL2007296	P22607	11.8
CHEMBL2007296	P23443	11.5
CHEMBL2007296	P24941	12.2
CHEMBL2007296	P27448	11.3
CHEMBL2007296	P28482	11.2
CHEMBL2007296	P29317	11.6
CHEMBL2007296	P29597	11.8
CHEMBL2007296	P31749	11.2
CHEMBL2007296	P31751	11.7
CHEMBL2007296	P35968	11.2
CHEMBL2007296	P36888	11.7
CHEMBL2007296	P41743	11.4
CHEMBL2007296	P43405	11.9
CHEMBL2007296	P45983	11.6
CHEMBL2007296	P45984	11.5
CHEMBL2007296	P48729	11.3
CHEMBL2007296	P48730	11.2
CHEMBL2007296	P49137	11.2
CHEMBL2007296	P49760	11.2
CHEMBL2007296	P49841	12
CHEMBL2007296	P51617	11.7
CHEMBL2007296	P51812	11.2
CHEMBL2007296	P51955	11.1
CHEMBL2007296	P52333	11.9
CHEMBL2007296	P53350	11.2
CHEMBL2007296	P53778	11.3
CHEMBL2007296	P68400	11.3
CHEMBL2007296	P78368	11.2
CHEMBL2007296	Q00535	11.4
CHEMBL2007296	Q06187	12
CHEMBL2007296	Q08881	11.9
CHEMBL2007296	Q13131	11.9
CHEMBL2007296	Q13153	11.1
CHEMBL2007296	Q13188	11.2
CHEMBL2007296	Q13464	13.7
CHEMBL2007296	Q13554	11.2
CHEMBL2007296	Q13555	11.3
CHEMBL2007296	Q13557	11.3
CHEMBL2007296	Q13627	11.3
CHEMBL2007296	Q13976	13.6
CHEMBL2007296	Q14012	11.3
CHEMBL2007296	Q14680	11.9
CHEMBL2007296	Q15303	11.5
CHEMBL2007296	Q16288	12
CHEMBL2007296	Q16513	12.2
CHEMBL2007296	Q16620	11.4
CHEMBL2007296	Q16644	11.1
CHEMBL2007296	Q96GD4	11.3
CHEMBL2007296	Q96KB5	11.1
CHEMBL2007296	Q96SB4	11.2
CHEMBL2007296	Q9H2G2	11.1
CHEMBL2007296	Q9H2X6	11.6
CHEMBL2007296	Q9H4B4	11.2
CHEMBL2007296	Q9HAZ1	13.3
CHEMBL2007296	Q9HBH9	11.1
CHEMBL2007296	Q9HCP0	11.3
CHEMBL2007296	Q9NWZ3	11.1
CHEMBL2007296	Q9NYL2	11.2
CHEMBL2007296	Q9P1W9	11.9
CHEMBL2007296	Q9UM73	12
CHEMBL2007296	Q9Y6M4	11.3
CHEMBL2007574	O00311	14.1
CHEMBL2007574	O14965	11.9
CHEMBL2007574	O43293	12.7
CHEMBL2007574	O60674	11.7
CHEMBL2007574	O95819	12.5
CHEMBL2007574	O96013	11.7
CHEMBL2007574	P04629	11.6
CHEMBL2007574	P06239	11.3
CHEMBL2007574	P06241	11.3
CHEMBL2007574	P07333	11.7
CHEMBL2007574	P07949	11.6
CHEMBL2007574	P08069	11.7
CHEMBL2007574	P08581	11.7
CHEMBL2007574	P11309	12.1
CHEMBL2007574	P11362	11.5
CHEMBL2007574	P16234	11.7
CHEMBL2007574	P17612	13.8001
CHEMBL2007574	P17948	11.5
CHEMBL2007574	P34947	12.8
CHEMBL2007574	P35968	11.7
CHEMBL2007574	P36507	12.1
CHEMBL2007574	P36888	11.6
CHEMBL2007574	P45983	11.7
CHEMBL2007574	P45984	11.5
CHEMBL2007574	P48729	11.5
CHEMBL2007574	P49336	14.9996
CHEMBL2007574	P49760	13.9
CHEMBL2007574	P49841	13.6
CHEMBL2007574	P50613	13.7
CHEMBL2007574	P50750	14
CHEMBL2007574	P51812	12.2
CHEMBL2007574	P52333	11.4
CHEMBL2007574	Q00535	14.3
CHEMBL2007574	Q02750	12.5
CHEMBL2007574	Q04759	13
CHEMBL2007574	Q04771	11.5
CHEMBL2007574	Q04912	11.8
CHEMBL2007574	Q05397	11.3
CHEMBL2007574	Q06187	11.3
CHEMBL2007574	Q07912	11.5
CHEMBL2007574	Q13131	11.6
CHEMBL2007574	Q13464	14.6003
CHEMBL2007574	Q13627	14.4002
CHEMBL2007574	Q16288	11.6
CHEMBL2007574	Q16539	11.5
CHEMBL2007574	Q16620	11.5
CHEMBL2007574	Q8IU85	11.7
CHEMBL2007574	Q9HAZ1	15.3
CHEMBL2007574	Q9UHD2	11.6
CHEMBL2007574	Q9UM73	11.5
CHEMBL2007574	Q9UQM7	11.8
CHEMBL2007592	O00311	12
CHEMBL2007592	O00444	11.5
CHEMBL2007592	O14757	11.2
CHEMBL2007592	O14920	11.6
CHEMBL2007592	O14965	11.5
CHEMBL2007592	O15075	11.1
CHEMBL2007592	O15111	11.5
CHEMBL2007592	O15264	11.2
CHEMBL2007592	O15530	11.5
CHEMBL2007592	O43293	12
CHEMBL2007592	O43781	11.5
CHEMBL2007592	O60674	11.9
CHEMBL2007592	O75116	11.2
CHEMBL2007592	O75582	11.8
CHEMBL2007592	O95819	11.3
CHEMBL2007592	O96013	11.4
CHEMBL2007592	O96017	11.4
CHEMBL2007592	P00533	11.8
CHEMBL2007592	P04626	11.9
CHEMBL2007592	P04629	11.7
CHEMBL2007592	P06213	11.4
CHEMBL2007592	P06239	11.7
CHEMBL2007592	P06493	11.2
CHEMBL2007592	P07332	11.8
CHEMBL2007592	P07333	11.7
CHEMBL2007592	P07948	11.9
CHEMBL2007592	P07949	12
CHEMBL2007592	P08069	12.1
CHEMBL2007592	P08581	11.6
CHEMBL2007592	P08922	11.8
CHEMBL2007592	P10721	12
CHEMBL2007592	P11309	13.1
CHEMBL2007592	P11362	11.4
CHEMBL2007592	P12931	11.8
CHEMBL2007592	P15735	11.4
CHEMBL2007592	P17612	11.2
CHEMBL2007592	P22607	11.8
CHEMBL2007592	P23443	11.3
CHEMBL2007592	P24941	11.2
CHEMBL2007592	P27448	11.3
CHEMBL2007592	P28482	11.2
CHEMBL2007592	P29317	11.2
CHEMBL2007592	P29597	11.8
CHEMBL2007592	P30530	11.8
CHEMBL2007592	P31749	11.2
CHEMBL2007592	P31751	11.2
CHEMBL2007592	P35968	11.2
CHEMBL2007592	P36888	11.7
CHEMBL2007592	P43405	11.9
CHEMBL2007592	P45983	11.9
CHEMBL2007592	P45984	11.9
CHEMBL2007592	P48729	11.3
CHEMBL2007592	P48730	11.2
CHEMBL2007592	P49137	11.2
CHEMBL2007592	P49760	11.2
CHEMBL2007592	P49841	11.3
CHEMBL2007592	P51617	11.2
CHEMBL2007592	P51812	11.2
CHEMBL2007592	P51955	11.1
CHEMBL2007592	P52333	11.9
CHEMBL2007592	P53350	11.2
CHEMBL2007592	P53667	11.1
CHEMBL2007592	P53778	11.3
CHEMBL2007592	P68400	11.8
CHEMBL2007592	P78368	11.2
CHEMBL2007592	Q00535	11.1
CHEMBL2007592	Q05397	11.9
CHEMBL2007592	Q06187	12
CHEMBL2007592	Q08881	11.9
CHEMBL2007592	Q13131	11.3
CHEMBL2007592	Q13153	11.1
CHEMBL2007592	Q13188	11.2
CHEMBL2007592	Q13464	11.1
CHEMBL2007592	Q13554	11.2
CHEMBL2007592	Q13555	11.3
CHEMBL2007592	Q13557	11.3
CHEMBL2007592	Q13627	11.7
CHEMBL2007592	Q13882	11.7
CHEMBL2007592	Q13976	11.8
CHEMBL2007592	Q14012	11.3
CHEMBL2007592	Q14289	11.9
CHEMBL2007592	Q14680	11.9
CHEMBL2007592	Q15303	11.5
CHEMBL2007592	Q16288	12
CHEMBL2007592	Q16513	11.2
CHEMBL2007592	Q16620	11.4
CHEMBL2007592	Q16644	11.2
CHEMBL2007592	Q7KZI7	11.2
CHEMBL2007592	Q96GD4	11.3
CHEMBL2007592	Q96KB5	11.1
CHEMBL2007592	Q96SB4	11.4
CHEMBL2007592	Q9H2G2	11.1
CHEMBL2007592	Q9H2X6	11.8
CHEMBL2007592	Q9H4B4	11.2
CHEMBL2007592	Q9HAZ1	11.6
CHEMBL2007592	Q9HBH9	11.3
CHEMBL2007592	Q9HCP0	11.3
CHEMBL2007592	Q9NWZ3	11.1
CHEMBL2007592	Q9NYL2	11.2
CHEMBL2007592	Q9P1W9	11.9
CHEMBL2007592	Q9UM73	12
CHEMBL2007592	Q9Y6M4	11.3
CHEMBL207400	O00311	12
CHEMBL207400	O00444	11.5
CHEMBL207400	O14757	11.2
CHEMBL207400	O14920	11.6
CHEMBL207400	O14965	11.5
CHEMBL207400	O15075	11.1
CHEMBL207400	O15111	11.5
CHEMBL207400	O15264	10.8617
CHEMBL207400	O15530	11.5
CHEMBL207400	O43293	12
CHEMBL207400	O43781	11.4
CHEMBL207400	O60674	11.9
CHEMBL207400	O75116	11.2
CHEMBL207400	O75582	11.8
CHEMBL207400	O95819	11.1
CHEMBL207400	O96013	11.4
CHEMBL207400	O96017	11.4
CHEMBL207400	P00519	12.3
CHEMBL207400	P00533	11.8
CHEMBL207400	P04626	11.9
CHEMBL207400	P04629	11.7
CHEMBL207400	P06213	11.4
CHEMBL207400	P06239	11.7
CHEMBL207400	P06241	12.2
CHEMBL207400	P06493	11.2
CHEMBL207400	P07332	11.8
CHEMBL207400	P07333	11.7
CHEMBL207400	P07948	11.9
CHEMBL207400	P07949	12
CHEMBL207400	P08069	12.1
CHEMBL207400	P08581	11.6
CHEMBL207400	P08922	11.8
CHEMBL207400	P10721	12
CHEMBL207400	P11309	11.4
CHEMBL207400	P11362	11.4
CHEMBL207400	P12931	11.4
CHEMBL207400	P15735	11.4
CHEMBL207400	P17612	11.2
CHEMBL207400	P22607	11.8
CHEMBL207400	P23443	11.3
CHEMBL207400	P24941	11.2
CHEMBL207400	P27448	11.3
CHEMBL207400	P28482	10.8617
CHEMBL207400	P29317	11.6
CHEMBL207400	P29597	11.8
CHEMBL207400	P30530	11.8
CHEMBL207400	P31749	11.2
CHEMBL207400	P31751	11.2
CHEMBL207400	P35968	11.2
CHEMBL207400	P36888	11.7
CHEMBL207400	P43405	11.9
CHEMBL207400	P45983	12.4309
CHEMBL207400	P45984	12.1379
CHEMBL207400	P48729	11.3
CHEMBL207400	P48730	11.2
CHEMBL207400	P49137	11.2
CHEMBL207400	P49760	11.2
CHEMBL207400	P49841	11.3
CHEMBL207400	P51617	11.2
CHEMBL207400	P51812	11.2
CHEMBL207400	P51955	11.1
CHEMBL207400	P52333	11.9
CHEMBL207400	P53350	11.2
CHEMBL207400	P53667	11.1
CHEMBL207400	P53778	10.9296
CHEMBL207400	P53779	10.8852
CHEMBL207400	P68400	11.3
CHEMBL207400	P78368	11.2
CHEMBL207400	Q00535	11.1
CHEMBL207400	Q05397	11.9
CHEMBL207400	Q06187	12
CHEMBL207400	Q08881	11.9
CHEMBL207400	Q13131	11.3
CHEMBL207400	Q13153	11.1
CHEMBL207400	Q13188	11.2
CHEMBL207400	Q13464	11.1
CHEMBL207400	Q13554	11.2
CHEMBL207400	Q13555	11.3
CHEMBL207400	Q13557	11.3
CHEMBL207400	Q13627	11.4
CHEMBL207400	Q13882	11.7
CHEMBL207400	Q13976	11.8
CHEMBL207400	Q14012	11.3
CHEMBL207400	Q14289	11.9
CHEMBL207400	Q14680	11.9
CHEMBL207400	Q15303	11.5
CHEMBL207400	Q15759	10.401
CHEMBL207400	Q16288	13.4
CHEMBL207400	Q16513	11.2
CHEMBL207400	Q16539	10.401
CHEMBL207400	Q16620	11.4
CHEMBL207400	Q16644	11.1
CHEMBL207400	Q7KZI7	11.2
CHEMBL207400	Q96GD4	11.3
CHEMBL207400	Q96KB5	11.1
CHEMBL207400	Q96SB4	11.3
CHEMBL207400	Q9H2G2	11.1
CHEMBL207400	Q9H2X6	11.6
CHEMBL207400	Q9H4B4	11.2
CHEMBL207400	Q9HAZ1	12.2
CHEMBL207400	Q9HBH9	11.1
CHEMBL207400	Q9HCP0	11.3
CHEMBL207400	Q9NWZ3	11.1
CHEMBL207400	Q9NYL2	11.2
CHEMBL207400	Q9P1W9	11.9
CHEMBL207400	Q9UM73	12
CHEMBL207400	Q9Y6M4	11.3
CHEMBL210887	O00311	12
CHEMBL210887	O00444	11.5
CHEMBL210887	O14757	11.2
CHEMBL210887	O14965	11.9
CHEMBL210887	O15075	11.1
CHEMBL210887	O15264	11.2
CHEMBL210887	O15530	11.5
CHEMBL210887	O43293	12
CHEMBL210887	O43781	11.7
CHEMBL210887	O60674	11.9
CHEMBL210887	O75116	12.6
CHEMBL210887	O75582	11.9
CHEMBL210887	O95819	12.8
CHEMBL210887	O96013	11.4
CHEMBL210887	O96017	11.9
CHEMBL210887	P00519	12.3
CHEMBL210887	P00533	11.8
CHEMBL210887	P04626	11.9
CHEMBL210887	P04629	11.7
CHEMBL210887	P06239	11.7
CHEMBL210887	P06241	12.2
CHEMBL210887	P06493	11.2
CHEMBL210887	P07332	11.8
CHEMBL210887	P07948	11.9
CHEMBL210887	P07949	12
CHEMBL210887	P08069	11.8
CHEMBL210887	P08922	11.8
CHEMBL210887	P11309	11.1
CHEMBL210887	P12931	11.8
CHEMBL210887	P15735	12.7
CHEMBL210887	P17612	11.2
CHEMBL210887	P23443	11.3
CHEMBL210887	P24941	11.2
CHEMBL210887	P27448	11.6
CHEMBL210887	P28482	11.2
CHEMBL210887	P29317	11.6
CHEMBL210887	P29597	11.8
CHEMBL210887	P30530	11.8
CHEMBL210887	P31749	11.2
CHEMBL210887	P31751	11.2
CHEMBL210887	P41743	11.4
CHEMBL210887	P43405	11.9
CHEMBL210887	P45983	11.6
CHEMBL210887	P45984	11.5
CHEMBL210887	P48729	12.1
CHEMBL210887	P48730	12.5
CHEMBL210887	P49137	11.2
CHEMBL210887	P49760	12.7
CHEMBL210887	P49841	11.8
CHEMBL210887	P51617	13.8001
CHEMBL210887	P51812	11.2
CHEMBL210887	P51955	11.1
CHEMBL210887	P52333	11.9
CHEMBL210887	P53350	11.2
CHEMBL210887	P53778	11.3
CHEMBL210887	P68400	11.3
CHEMBL210887	P78368	12.7
CHEMBL210887	Q00535	11.1
CHEMBL210887	Q05397	11.9
CHEMBL210887	Q06187	12
CHEMBL210887	Q08881	12.5
CHEMBL210887	Q13131	11.9
CHEMBL210887	Q13153	11.1
CHEMBL210887	Q13188	11.2
CHEMBL210887	Q13464	11.1
CHEMBL210887	Q13554	11.2
CHEMBL210887	Q13555	11.3
CHEMBL210887	Q13557	11.3
CHEMBL210887	Q13627	11.9
CHEMBL210887	Q13882	11.7
CHEMBL210887	Q13976	11.8
CHEMBL210887	Q14012	11.4
CHEMBL210887	Q14289	11.9
CHEMBL210887	Q14680	11.9
CHEMBL210887	Q15303	11.5
CHEMBL210887	Q16288	12.8
CHEMBL210887	Q16513	11.2
CHEMBL210887	Q16620	11.4
CHEMBL210887	Q16644	11.1
CHEMBL210887	Q7KZI7	11.7
CHEMBL210887	Q96GD4	11.4
CHEMBL210887	Q96KB5	11.3
CHEMBL210887	Q96SB4	11.9
CHEMBL210887	Q9H2G2	11.1
CHEMBL210887	Q9H2X6	11.6
CHEMBL210887	Q9H4B4	11.3
CHEMBL210887	Q9HAZ1	13.9
CHEMBL210887	Q9HBH9	11.1
CHEMBL210887	Q9HCP0	12.2
CHEMBL210887	Q9NWZ3	13.1188
CHEMBL210887	Q9NYL2	11.2
CHEMBL210887	Q9P1W9	11.9
CHEMBL210887	Q9UM73	12
CHEMBL210887	Q9Y6M4	11.5
CHEMBL211378	O00311	12
CHEMBL211378	O00444	11.5
CHEMBL211378	O14757	11.2
CHEMBL211378	O14920	11.6
CHEMBL211378	O14965	12.1
CHEMBL211378	O15075	11.1
CHEMBL211378	O15111	11.5
CHEMBL211378	O15264	11.2
CHEMBL211378	O15530	11.5
CHEMBL211378	O43293	12
CHEMBL211378	O43781	11.3
CHEMBL211378	O60674	11.9
CHEMBL211378	O75116	11.9
CHEMBL211378	O75582	11.8
CHEMBL211378	O95819	12
CHEMBL211378	O96013	11.4
CHEMBL211378	O96017	12.3
CHEMBL211378	P00519	12.3
CHEMBL211378	P00533	11.8
CHEMBL211378	P04626	11.9
CHEMBL211378	P04629	11.7
CHEMBL211378	P06213	11.4
CHEMBL211378	P06239	12.3
CHEMBL211378	P06493	11.2
CHEMBL211378	P07332	11.8
CHEMBL211378	P07333	13.9
CHEMBL211378	P07948	12.1
CHEMBL211378	P07949	12.1
CHEMBL211378	P08069	12.1
CHEMBL211378	P08581	11.6
CHEMBL211378	P08922	11.8
CHEMBL211378	P10721	12
CHEMBL211378	P11309	11.1
CHEMBL211378	P11362	11.4
CHEMBL211378	P12931	11.4
CHEMBL211378	P15735	11.4
CHEMBL211378	P17612	11.2
CHEMBL211378	P17948	14.1
CHEMBL211378	P22607	11.8
CHEMBL211378	P23443	11.9
CHEMBL211378	P24941	11.2
CHEMBL211378	P27448	11.3
CHEMBL211378	P28482	11.2
CHEMBL211378	P29317	11.9
CHEMBL211378	P29597	11.8
CHEMBL211378	P30530	11.8
CHEMBL211378	P31749	11.2
CHEMBL211378	P31751	11.2
CHEMBL211378	P35968	13.219
CHEMBL211378	P36888	13.9
CHEMBL211378	P43405	12
CHEMBL211378	P45983	11.6
CHEMBL211378	P45984	11.5
CHEMBL211378	P48729	11.3
CHEMBL211378	P48730	11.2
CHEMBL211378	P49137	11.2
CHEMBL211378	P49760	11.9
CHEMBL211378	P49841	11.3
CHEMBL211378	P51617	11.2
CHEMBL211378	P51812	11.2
CHEMBL211378	P51955	11.2
CHEMBL211378	P52333	11.9
CHEMBL211378	P53350	11.2
CHEMBL211378	P53667	11.1
CHEMBL211378	P53778	11.3
CHEMBL211378	P68400	11.7
CHEMBL211378	P78368	11.3
CHEMBL211378	Q00535	11.1
CHEMBL211378	Q05397	11.9
CHEMBL211378	Q06187	12
CHEMBL211378	Q08881	11.9
CHEMBL211378	Q13131	11.3
CHEMBL211378	Q13153	11.1
CHEMBL211378	Q13188	11.2
CHEMBL211378	Q13464	11.1
CHEMBL211378	Q13554	11.2
CHEMBL211378	Q13555	11.3
CHEMBL211378	Q13557	11.3
CHEMBL211378	Q13627	11.3
CHEMBL211378	Q13882	11.7
CHEMBL211378	Q13976	11.8
CHEMBL211378	Q14012	11.3
CHEMBL211378	Q14289	11.9
CHEMBL211378	Q14680	11.9
CHEMBL211378	Q15303	11.5
CHEMBL211378	Q16288	12
CHEMBL211378	Q16513	11.2
CHEMBL211378	Q16620	11.4
CHEMBL211378	Q16644	11.1
CHEMBL211378	Q7KZI7	11.2
CHEMBL211378	Q96GD4	12
CHEMBL211378	Q96KB5	11.2
CHEMBL211378	Q96SB4	11.2
CHEMBL211378	Q9H2G2	11.6
CHEMBL211378	Q9H2X6	11.6
CHEMBL211378	Q9H4B4	12.8
CHEMBL211378	Q9HAZ1	12.6
CHEMBL211378	Q9HBH9	11.3
CHEMBL211378	Q9HCP0	11.3
CHEMBL211378	Q9NWZ3	11.1
CHEMBL211378	Q9NYL2	11.2
CHEMBL211378	Q9P1W9	11.9
CHEMBL211378	Q9UM73	12
CHEMBL211378	Q9Y6M4	11.3
CHEMBL213207	O00311	14.2002
CHEMBL213207	O75116	14.3
CHEMBL213207	O95819	13.8001
CHEMBL213207	P06493	12.921
CHEMBL213207	P07949	10.1
CHEMBL213207	P11309	11.1
CHEMBL213207	P17612	12.8
CHEMBL213207	P24941	14.5001
CHEMBL213207	P49841	13
CHEMBL213207	Q9H2X6	13.9
CHEMBL213207	Q9HBH9	13.2
CHEMBL213207	Q9NWZ3	12.6
CHEMBL213505	O00311	12
CHEMBL213505	O00444	11.5
CHEMBL213505	O14757	11.2
CHEMBL213505	O14965	12.5
CHEMBL213505	O15075	11.2
CHEMBL213505	O15264	11.2
CHEMBL213505	O15530	11.5
CHEMBL213505	O43293	12
CHEMBL213505	O43781	11.4
CHEMBL213505	O60674	11.9
CHEMBL213505	O75116	12.3
CHEMBL213505	O75582	11.8
CHEMBL213505	O95819	12
CHEMBL213505	O96013	11.4
CHEMBL213505	O96017	12
CHEMBL213505	P00519	12.3
CHEMBL213505	P00533	11.8
CHEMBL213505	P04626	11.9
CHEMBL213505	P04629	12
CHEMBL213505	P06213	11.4
CHEMBL213505	P06239	12.7
CHEMBL213505	P06241	12.2
CHEMBL213505	P06493	11.2
CHEMBL213505	P07333	11.7
CHEMBL213505	P07948	13.1
CHEMBL213505	P07949	14.1
CHEMBL213505	P08069	11.8
CHEMBL213505	P08581	11.6
CHEMBL213505	P08922	12.8
CHEMBL213505	P10721	12
CHEMBL213505	P11309	11.1
CHEMBL213505	P11362	12.2
CHEMBL213505	P12931	11.8
CHEMBL213505	P15735	11.4
CHEMBL213505	P17612	11.2
CHEMBL213505	P17948	14.1
CHEMBL213505	P22607	11.8
CHEMBL213505	P23443	13
CHEMBL213505	P24941	11.2
CHEMBL213505	P27448	11.5
CHEMBL213505	P28482	11.2
CHEMBL213505	P29317	13.5
CHEMBL213505	P29597	11.8
CHEMBL213505	P30530	13.6
CHEMBL213505	P31749	11.2
CHEMBL213505	P31751	11.2
CHEMBL213505	P35968	13.6185
CHEMBL213505	P36888	14.6003
CHEMBL213505	P41743	11.4
CHEMBL213505	P43405	12.4
CHEMBL213505	P45983	11.6
CHEMBL213505	P45984	11.5
CHEMBL213505	P48729	11.3
CHEMBL213505	P48730	11.2
CHEMBL213505	P49137	11.2
CHEMBL213505	P49760	12
CHEMBL213505	P49841	11.8
CHEMBL213505	P51617	11.4
CHEMBL213505	P51812	12
CHEMBL213505	P51955	12.1
CHEMBL213505	P52333	11.9
CHEMBL213505	P53350	11.2
CHEMBL213505	P53667	11.1
CHEMBL213505	P53778	11.3
CHEMBL213505	P68400	11.3
CHEMBL213505	P78368	11.7
CHEMBL213505	Q00535	11.1
CHEMBL213505	Q05397	12
CHEMBL213505	Q06187	12
CHEMBL213505	Q08881	11.9
CHEMBL213505	Q13131	11.9
CHEMBL213505	Q13153	11.5
CHEMBL213505	Q13188	11.4
CHEMBL213505	Q13464	11.7
CHEMBL213505	Q13554	11.2
CHEMBL213505	Q13555	11.3
CHEMBL213505	Q13557	11.3
CHEMBL213505	Q13627	11.6
CHEMBL213505	Q13882	11.7
CHEMBL213505	Q13976	11.8
CHEMBL213505	Q14012	11.3
CHEMBL213505	Q14289	11.9
CHEMBL213505	Q14680	12.4
CHEMBL213505	Q15303	11.5
CHEMBL213505	Q16513	11.2
CHEMBL213505	Q16620	12.8
CHEMBL213505	Q16644	11.1
CHEMBL213505	Q7KZI7	11.8
CHEMBL213505	Q96GD4	12.8
CHEMBL213505	Q96KB5	11.3
CHEMBL213505	Q96SB4	11.9
CHEMBL213505	Q9H2G2	12.5
CHEMBL213505	Q9H2X6	12.6
CHEMBL213505	Q9H4B4	13.3
CHEMBL213505	Q9HAZ1	12.7
CHEMBL213505	Q9HBH9	12.3
CHEMBL213505	Q9HCP0	11.8
CHEMBL213505	Q9NWZ3	11.1
CHEMBL213505	Q9NYL2	11.6
CHEMBL213505	Q9P1W9	11.9
CHEMBL213505	Q9Y6M4	11.6
CHEMBL2152252	O00311	11.5437
CHEMBL2152252	O14757	11.5437
CHEMBL2152252	O15530	11.5437
CHEMBL2152252	O60674	11.5437
CHEMBL2152252	P00533	12.2314
CHEMBL2152252	P04049	12.7861
CHEMBL2152252	P06213	11.5437
CHEMBL2152252	P06493	11.5437
CHEMBL2152252	P08581	11.5437
CHEMBL2152252	P11362	11.5437
CHEMBL2152252	P12931	11.5437
CHEMBL2152252	P31749	11.5437
CHEMBL2152252	P35968	11.5437
CHEMBL2152252	P36888	11.5437
CHEMBL2152252	Q96GD4	11.5437
CHEMBL2152253	O00311	11.5437
CHEMBL2152253	O14757	11.5437
CHEMBL2152253	O15530	11.5437
CHEMBL2152253	O60674	11.5437
CHEMBL2152253	P00533	12.4872
CHEMBL2152253	P04049	11.8414
CHEMBL2152253	P06213	11.5437
CHEMBL2152253	P06493	11.5437
CHEMBL2152253	P08581	11.5437
CHEMBL2152253	P11362	11.5437
CHEMBL2152253	P12931	11.5437
CHEMBL2152253	P31749	11.5437
CHEMBL2152253	P35968	11.5437
CHEMBL2152253	P36888	11.5437
CHEMBL2152253	Q96GD4	11.5437
CHEMBL220057	O00311	12
CHEMBL220057	O00444	12.4
CHEMBL220057	O14757	11.2
CHEMBL220057	O14920	11.6
CHEMBL220057	O14965	12.7
CHEMBL220057	O15075	11.1
CHEMBL220057	O15111	11.5
CHEMBL220057	O15264	11.2
CHEMBL220057	O15530	11.5
CHEMBL220057	O43293	12
CHEMBL220057	O43781	11.5
CHEMBL220057	O60674	12.1
CHEMBL220057	O75116	12.8
CHEMBL220057	O75582	12.6
CHEMBL220057	O95819	11.9
CHEMBL220057	O96013	11.4
CHEMBL220057	O96017	11.8
CHEMBL220057	P00519	12.3
CHEMBL220057	P00533	11.8
CHEMBL220057	P04626	11.9
CHEMBL220057	P04629	12
CHEMBL220057	P06213	11.7
CHEMBL220057	P06239	12
CHEMBL220057	P06241	12.2
CHEMBL220057	P06493	11.2
CHEMBL220057	P07332	12
CHEMBL220057	P07333	14.5001
CHEMBL220057	P07948	12.1
CHEMBL220057	P07949	13.1
CHEMBL220057	P08069	12
CHEMBL220057	P08581	12.1
CHEMBL220057	P08922	11.8
CHEMBL220057	P10721	13.8805
CHEMBL220057	P11309	11.1
CHEMBL220057	P11362	12.2
CHEMBL220057	P12931	12
CHEMBL220057	P15735	11.4
CHEMBL220057	P17612	11.7
CHEMBL220057	P17948	15.3
CHEMBL220057	P22607	11.8
CHEMBL220057	P23443	12.4
CHEMBL220057	P24941	11.2
CHEMBL220057	P27448	11.6
CHEMBL220057	P28482	11.2
CHEMBL220057	P29317	11.8
CHEMBL220057	P29597	12
CHEMBL220057	P30530	12.7
CHEMBL220057	P31749	11.2
CHEMBL220057	P31751	11.2
CHEMBL220057	P35968	14.4424
CHEMBL220057	P36888	14.3511
CHEMBL220057	P41743	11.4
CHEMBL220057	P43405	11.9
CHEMBL220057	P45983	11.6
CHEMBL220057	P45984	11.9
CHEMBL220057	P48729	11.3
CHEMBL220057	P48730	11.4
CHEMBL220057	P49137	11.2
CHEMBL220057	P49760	11.8
CHEMBL220057	P49841	11.5
CHEMBL220057	P51617	11.3
CHEMBL220057	P51812	11.6
CHEMBL220057	P51955	11.1
CHEMBL220057	P52333	12
CHEMBL220057	P53350	11.2
CHEMBL220057	P53667	11.5
CHEMBL220057	P53778	11.3
CHEMBL220057	P68400	11.5
CHEMBL220057	P78368	11.5
CHEMBL220057	Q00535	11.4
CHEMBL220057	Q05397	11.9
CHEMBL220057	Q06187	12
CHEMBL220057	Q08881	11.9
CHEMBL220057	Q13131	11.3
CHEMBL220057	Q13153	11.1
CHEMBL220057	Q13188	12.2
CHEMBL220057	Q13464	12.8
CHEMBL220057	Q13554	11.5
CHEMBL220057	Q13555	11.4
CHEMBL220057	Q13557	11.5
CHEMBL220057	Q13627	11.4
CHEMBL220057	Q13882	11.7
CHEMBL220057	Q13976	12.2
CHEMBL220057	Q14012	11.3
CHEMBL220057	Q14289	11.9
CHEMBL220057	Q14680	11.9
CHEMBL220057	Q15303	11.5
CHEMBL220057	Q16288	13.4
CHEMBL220057	Q16513	11.4
CHEMBL220057	Q16620	12.1
CHEMBL220057	Q16644	11.1
CHEMBL220057	Q7KZI7	11.5
CHEMBL220057	Q96GD4	13.3
CHEMBL220057	Q96KB5	11.2
CHEMBL220057	Q96SB4	11.4
CHEMBL220057	Q9H2G2	11.8
CHEMBL220057	Q9H2X6	11.6
CHEMBL220057	Q9H4B4	12.1
CHEMBL220057	Q9HAZ1	13.2
CHEMBL220057	Q9HBH9	11.8
CHEMBL220057	Q9HCP0	11.3
CHEMBL220057	Q9NWZ3	12.2
CHEMBL220057	Q9NYL2	11.3
CHEMBL220057	Q9P1W9	11.9
CHEMBL220057	Q9UM73	11.9
CHEMBL220057	Q9Y6M4	11.3
CHEMBL220241	O00311	13.2
CHEMBL220241	O00444	12.6
CHEMBL220241	O14757	11.2
CHEMBL220241	O14920	11.1
